time,Fx,Fy,Fz,Tx,Ty,Tz,dx,dy,dz,dRx,dRy,dRz
1.467e-06,0,0,0,0,0,0,0,0,0,0,0,0
0.0242935,0,0,0,0,0,0,0,0,0,0,0,0
0.0413426,0,0,0,0,0,0,0,0,0,0,0,0
0.0590413,0,0,0,0,0,0,0,0,0,0,0,0
0.0760276,0,0,0,0,0,0,0,0,0,0,0,0
0.0951248,0,0,0,0,0,0,0,0,0,0,0,0
0.108981,0,0,0,0,0,0,0,0,0,0,0,0
0.124552,0,0,0,0,0,0,0,0,0,0,0,0
0.142443,0,0,0,0,0,0,0,0,0,0,0,0
0.1632,0,0,0,0,0,0,0,0,0,0,0,0
0.179682,0,0,0,0,0,0,0,0,0,0,0,0
0.198052,0,0,0,0,0,0,0,0,0,0,0,0
0.21462,0,0,0,0,0,0,0,0,0,0,0,0
0.231409,0,0,0,0,0,0,0,0,0,0,0,0
0.246019,0,0,0,0,0,0,0,0,0,0,0,0
0.264866,0,0,0,0,0,0,0,0,0,0,0,0
0.281654,0,0,0,0,0,0,0,0,0,0,0,0
0.303265,0,0,0,0,0,0,0,0,0,0,0,0
0.319976,0,0,0,0,0,0,0,0,0,0,0,0
0.337713,0,0,0,0,0,0,0,0,0,0,0,0
0.356222,0,0,0,0,0,0,0,0,0,0,0,0
0.37448,0,0,0,0,0,0,0,0,0,0,0,0
0.390406,0,0,0,0,0,0,0,0,0,0,0,0
0.404185,0,0,0,0,0,0,0,0,0,0,0,0
0.423205,0,0,0,0,0,0,0,0,0,0,0,0
0.439641,0,0,0,0,0,0,0,0,0,0,0,0
0.451885,0,0,0,0,0,0,0,0,0,0,0,0
0.46641,0,0,0,0,0,0,0,0,0,0,0,0
0.483779,0,0,0,0,0,0,0,0,0,0,0,0
0.501441,0,0,0,0,0,0,0,0,0,0,0,0
0.521492,0,0,0,0,0,0,0,0,0,0,0,0
0.539211,0,0,0,0,0,0,0,0,0,0,0,0
0.55919,0,0,0,0,0,0,0,0,0,0,0,0
0.576331,0,0,0,0,0,0,0,0,0,0,0,0
0.593981,0,0,0,0,0,0,0,0,0,0,0,0
0.60893,0,0,0,0,0,0,0,0,0,0,0,0
0.62868,0,0,0,0,0,0,0,0,0,0,0,0
0.644991,0,0,0,0,0,0,0,0,0,0,0,0
0.66045,0,0,0,0,0,0,0,0,0,0,0,0
0.678738,0,0,0,0,0,0,0,0,0,0,0,0
0.695526,0,0,0,0,0,0,0,0,0,0,0,0
0.712437,0,0,0,0,0,0,0,0,0,0,0,0
0.729268,0,0,0,0,0,0,0,0,0,0,0,0
0.75029,0,0,0,0,0,0,0,0,0,0,0,0
0.767402,0,0,0,0,0,0,0,0,0,0,0,0
0.788289,0,0,0,0,0,0,0,0,0,0,0,0
0.808453,0,0,0,0,0,0,0,0,0,0,0,0
0.830071,0,0,0,0,0,0,0,0,0,0,0,0
0.845518,0,0,0,0,0,0,0,0,0,0,0,0
0.864585,0,0,0,0,0,0,0,0,0,0,0,0
0.882668,0,0,0,0,0,0,0,0,0,0,0,0
0.900057,0,0,0,0,0,0,0,0,0,0,0,0
0.917262,0,0,0,0,0,0,0,0,0,0,0,0
0.935851,0,0,0,0,0,0,0,0,0,0,0,0
0.952504,0,0,0,0,0,0,0,0,0,0,0,0
0.973352,0,0,0,0,0,0,0,0,0,0,0,0
0.989537,0,0,0,0,0,0,0,0,0,0,0,0
1.00653,0,0,0,0,0,0,0,0,0,0,0,0
1.02398,0,0,0,0,0,0,0,0,0,0,0,0
1.0441,0,0,0,0,0,0,0,0,0,0,0,0
1.0632,0,0,0,0,0,0,0,0,0,0,0,0
1.07947,0,0,0,0,0,0,0,0,0,0,0,0
1.10149,0,0,0,0,0,0,0,0,0,0,0,0
1.11827,0,0,0,0,0,0,0,0,0,0,0,0
1.13834,0,0,0,0,0,0,0,0,0,0,0,0
1.1573,0,0,0,0,0,0,0,0,0,0,0,0
1.1761,0,0,0,0,0,0,0,0,0,0,0,0
1.19739,0,0,0,0,0,0,0,0,0,0,0,0
1.21459,0,0,0,0,0,0,0,0,0,0,0,0
1.23589,0,0,0,0,0,0,0,0,0,0,0,0
1.25493,0,0,0,0,0,0,0,0,0,0,0,0
1.26991,0,0,0,0,0,0,0,0,0,0,0,0
1.29095,0,0,0,0,0,0,0,0,0,0,0,0
1.30632,0,0,0,0,0,0,0,0,0,0,0,0
1.32383,0,0,0,0,0,0,0,0,0,0,0,0
1.34158,0,0,0,0,0,0,0,0,0,0,0,0
1.35847,0,0,0,0,0,0,0,0,0,0,0,0
1.38058,0,0,0,0,0,0,0,0,0,0,0,0
1.3976,0,0,0,0,0,0,0,0,0,0,0,0
1.40938,0,0,0,0,0,0,0,0,0,0,0,0
1.42247,0,0,0,0,0,0,0,0,0,0,0,0
1.43644,0,0,0,0,0,0,0,0,0,0,0,0
1.45459,0,0,0,0,0,0,0,0,0,0,0,0
1.47386,0,0,0,0,0,0,0,0,0,0,0,0
1.496,0,0,0,0,0,0,0,0,0,0,0,0
1.51238,0,0,0,0,0,0,0,0,0,0,0,0
1.53003,0,0,0,0,0,0,0,0,0,0,0,0
1.54314,0,0,0,0,0,0,0,0,0,0,0,0
1.55473,0,0,0,0,0,0,0,0,0,0,0,0
1.56995,0,0,0,0,0,0,0,0,0,0,0,0
1.58844,0,0,0,0,0,0,0,0,0,0,0,0
1.60021,0,0,0,0,0,0,0,0,0,0,0,0
1.61191,0,0,0,0,0,0,0,0,0,0,0,0
1.62407,0,0,0,0,0,0,0,0,0,0,0,0
1.6356,0,0,0,0,0,0,0,0,0,0,0,0
1.65189,0,0,0,0,0,0,0,0,0,0,0,0
1.66947,0,0,0,0,0,0,0,0,0,0,0,0
1.68833,0,0,0,0,0,0,0,0,0,0,0,0
1.70871,0,0,0,0,0,0,0,0,0,0,0,0
1.7228,0,0,0,0,0,0,0,0,0,0,0,0
1.74217,0,0,0,0,0,0,0,0,0,0,0,0
1.7637,0,0,0,0,0,0,0,0,0,0,0,0
1.78192,0,0,0,0,0,0,0,0,0,0,0,0
1.79769,0,0,0,0,0,0,0,0,0,0,0,0
1.81115,0,0,0,0,0,0,0,0,0,0,0,0
1.82684,0,0,0,0,0,0,0,0,0,0,0,0
1.84342,0,0,0,0,0,0,0,0,0,0,0,0
1.8603,0,0,0,0,0,0,0,0,0,0,0,0
1.87703,0,0,0,0,0,0,0,0,0,0,0,0
1.89369,0,0,0,0,0,0,0,0,0,0,0,0
1.91017,0,0,0,0,0,0,0,0,0,0,0,0
1.92974,0,0,0,0,0,0,0,0,0,0,0,0
1.94384,0,0,0,0,0,0,0,0,0,0,0,0
1.96334,0,0,0,0,0,0,0,0,0,0,0,0
1.97957,0,0,0,0,0,0,0,0,0,0,0,0
1.99886,0,0,0,0,0,0,0,0,0,0,0,0
2.01518,0,0,0,0,0,0,0,0,0,0,0,0
2.03328,0,0,0,0,0,0,0,0,0,0,0,0
2.05328,0,0,0,0,0,0,0,0,0,0,0,0
2.0672,0,0,0,0,0,0,0,0,0,0,0,0
2.08472,0,0,0,0,0,0,0,0,0,0,0,0
2.1032,0,0,0,0,0,0,0,0,0,0,0,0
2.12444,0,0,0,0,0,0,0,0,0,0,0,0
2.14026,0,0,0,0,0,0,0,0,0,0,0,0
2.15983,0,0,0,0,0,0,0,0,0,0,0,0
2.17789,0,0,0,0,0,0,0,0,0,0,0,0
2.19638,0,0,0,0,0,0,0,0,0,0,0,0
2.21632,0,0,0,0,0,0,0,0,0,0,0,0
2.23507,0,0,0,0,0,0,0,0,0,0,0,0
2.24955,0,0,0,0,0,0,0,0,0,0,0,0
2.26327,0,0,0,0,0,0,0,0,0,0,0,0
2.27815,0,0,0,0,0,0,0,0,0,0,0,0
2.29163,0,0,0,0,0,0,0,0,0,0,0,0
2.31137,0,0,0,0,0,0,0,0,0,0,0,0
2.32837,0,0,0,0,0,0,0,0,0,0,0,0
2.35006,0,0,0,0,0,0,0,0,0,0,0,0
2.36914,0,0,0,0,0,0,0,0,0,0,0,0
2.39276,0,0,0,0,0,0,0,0,0,0,0,0
2.41474,0,0,0,0,0,0,0,0,0,0,0,0
2.433,0,0,0,0,0,0,0,0,0,0,0,0
